,value
a1,0.5071320627393971
a2,6.116058391637124
a3,5.600859642904008
a4,11.311648153387516
a5,9.601579650686302
a6,32.41294939878896
a7,1.7691761277526183
a8,6.666165063653036
a9,0.0907806701354799
a10,5.894339461983225
a11,0.017047507825280382
a12,2.5186796646985083
a13,4.501870408166056
a14,21.103280186384893
a15,15.888621448552536
a16,16.35646295890859
a17,0.004994299972952258
a18,0.26958310760424603
a19,2.13013525539384
a20,5.013551860648602
a21,0.7485941034078799
a22,9.025495181294016
a23,6.927325626021052
a24,17.291126707643823
a25,21.94305226151348
a26,31.355281114621643
a27,0.0322308576220794
28,2.5518767279244936
a29,17.433308059500142
a30,30.173665037816214
a31,5.3554188825315
a32,23.559585121316275
a33,9.426433166465582
a34,17.375228100863637
a35,1.9649904411929102
a36,6.412408118480026
37,0.07871951282229439
a38,4.64796226247344
a39,22.526836930739353
a40,45.273672827139265
a41,22.844632933709764
a42,36.953673969698414
a43,32.3071309499507
a44,27.307248527236418
