TP,FN,FP,TN,Accuracy,Precision,Recall,F1Score,Specificity,LRP,LRM,pop
198,14,31,24,0.8314606741573034,0.8646288209606987,0.9339622641509434,0.8979591836734694,0.43636363636363634,1.657029823493609,0.15133647798742136,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
 1 0 1 0 0 0 1]"
199,13,34,21,0.8239700374531835,0.8540772532188842,0.9386792452830188,0.89438202247191,0.38181818181818183,1.5184517203107657,0.1606019766397126,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
 0 1 1 0 0 0 0]"
188,24,37,18,0.7715355805243446,0.8355555555555556,0.8867924528301887,0.8604118993135013,0.32727272727272727,1.3182049974502805,0.3459119496855345,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 1 0 0 0 1]"
199,13,34,21,0.8239700374531835,0.8540772532188842,0.9386792452830188,0.89438202247191,0.38181818181818183,1.5184517203107657,0.1606019766397126,"[0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0
 0 0 1 0 0 0 1]"
193,19,34,21,0.8014981273408239,0.8502202643171806,0.910377358490566,0.8792710706150342,0.38181818181818183,1.472669256381798,0.23472596585804142,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 1 0]"
202,10,32,23,0.8426966292134831,0.8632478632478633,0.9528301886792453,0.9058295964125562,0.41818181818181815,1.637676886792453,0.11279737489745692,"[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0
 0 1 1 0 0 0 0]"
196,16,32,23,0.8202247191011236,0.8596491228070176,0.9245283018867925,0.8909090909090909,0.41818181818181815,1.5890330188679247,0.18047579983593107,"[1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 0]"
202,10,31,24,0.846441947565543,0.8669527896995708,0.9528301886792453,0.9078651685393259,0.43636363636363634,1.6905051734631769,0.10809748427672954,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0
 0 0 1 0 1 0 0]"
195,17,30,25,0.8239700374531835,0.8666666666666667,0.9198113207547169,0.8924485125858124,0.45454545454545453,1.6863207547169812,0.17641509433962274,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
 0 0 1 0 0 0 0]"
200,12,39,16,0.8089887640449438,0.8368200836820083,0.9433962264150944,0.8869179600886918,0.2909090909090909,1.3304305757135946,0.19457547169811318,"[0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0
 0 1 1 0 0 0 0]"
