,Selection,Original silhouette,Weighted silhouette,Embedding silhouette,KL divergence
0,selections/KruskallWallis_score_wdbc.csv,0.5136967682373823,0.5173513010306376,0.41101766775355036,0.26957585599395806
1,selections/MutualInformation_score_wdbc.csv,0.5136967682373823,0.5198251818533154,0.3773410125342788,0.27470057482195287
2,selections/ReliefF_score_wdbc.csv,0.5136967682373823,0.5166892133207166,0.4106071781463204,0.2815768375866856
5,selections/LinearSVM_score_wdbc.csv,0.5136967682373823,0.5103881733378848,0.42887424627256227,0.3536280952597206
6,selections/RF_score_wdbc.csv,0.5136967682373823,0.5290682603501154,0.429722128049922,0.22749049065235205
