,value
a0,120.944180973457
a1,42.263859684710084
a2,49.059977583205516
a3,7.387189794934285
a4,30.663570435469385
a5,14.339166525303394
a6,8.183931295577882
a7,0.006512199343702257
a8,19.819293567699056
a9,12.57424162877921
a10,12.76651560210683
a11,2.236544135434218
a12,0.0090802497756883
a13,1.328453243215001
a14,6.730307076099385
a15,9.380311594410452
a16,9.948237073184046
a17,0.0005639699418947933
a18,3.930913080916771
a19,8.600529982609968
a20,18.096024411885338
a21,0.035375667268484
a22,0.47571428571420404
a23,0.18367346938788612
